epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,26109.3,0.8432,0.47806,0.90684,0.95665,0.96605,0.98102,0.85001,0.65531,0.32967,0.86508,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,26876.6,0.84129,0.47564,0.90642,0.96464,0.95954,0.98092,0.84867,0.65419,0.32591,0.86625,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,27639.1,0.83886,0.46931,0.90533,0.96245,0.9609,0.98106,0.85203,0.64989,0.32363,0.86409,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,28400.6,0.83703,0.46779,0.90417,0.96176,0.96555,0.98216,0.85236,0.64969,0.32094,0.86394,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,29166.9,0.83157,0.46033,0.90223,0.96518,0.96167,0.98179,0.85085,0.65108,0.32197,0.86375,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,29929,0.82828,0.4559,0.90175,0.96612,0.96204,0.98171,0.85434,0.64954,0.31876,0.86315,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,30694.5,0.82954,0.45374,0.90294,0.96771,0.96526,0.98084,0.85058,0.6497,0.31766,0.86273,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,31458.3,0.82407,0.44766,0.90113,0.96475,0.9659,0.98159,0.8531,0.64802,0.31633,0.86228,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,32223.4,0.82194,0.44245,0.90112,0.96589,0.96462,0.98225,0.85403,0.646,0.31453,0.86114,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,33077.5,0.76719,0.40525,0.89636,0.96465,0.96677,0.98206,0.85526,0.64414,0.31531,0.86123,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,33856.3,0.75706,0.39443,0.89579,0.96246,0.9696,0.98186,0.85371,0.64265,0.31365,0.86116,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,34612.7,0.75385,0.39114,0.8923,0.97068,0.96642,0.98228,0.85513,0.63978,0.31006,0.86049,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,35369.3,0.75017,0.38341,0.89049,0.96909,0.96669,0.98242,0.85521,0.63882,0.30998,0.86013,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,36148.4,0.74522,0.37582,0.89128,0.96837,0.96905,0.982,0.85641,0.63661,0.30856,0.85916,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,36928.4,0.73984,0.37332,0.88793,0.96793,0.96992,0.98175,0.85685,0.63476,0.30644,0.85855,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,37685.9,0.73951,0.36845,0.88966,0.96881,0.97031,0.98165,0.85764,0.63469,0.30498,0.85822,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,38470.5,0.72977,0.3586,0.88508,0.97112,0.9672,0.98154,0.85805,0.6334,0.30433,0.85832,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,39310.3,0.72888,0.35502,0.88434,0.9689,0.96769,0.98137,0.85728,0.63293,0.30462,0.85784,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,40153.7,0.72602,0.35296,0.88496,0.97525,0.96244,0.98104,0.85843,0.63229,0.30384,0.85747,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
